年份,一般公共预算收入（亿元）,第一产业（亿元）,工业总产值（亿元）,建筑业总产值（亿元）,社会商品零售总额（亿元）,人口数（万人）,受灾面积（万公顷）,
1978,1132.26,1018.5,1621.4,138.9,1558.6,96259,5081,
1979,1146.38,1259.0,1786.5,144.6,1800.0,97542,3937,
1980,1159.93,1359.5,2014.8,196.3,2140.0,98705,5003,
1981,1175.79,1545.7,2067.7,208.0,2350.0,100072,3979,
1982,1212.33,1761.7,2183.0,221.6,2570.0,101654,3313,
1983,1366.95,1960.9,2399.0,271.7,2849.4,103008,3471,
1984,1642.86,2295.6,2815.8,317.9,3376.4,104357,3189,
1985,2004.82,2541.7,3478.2,419.3,4305.0,105851,4437,
1986,2122.01,2764.1,4000.7,527.3,4950.0,107507,4714,
1987,2199.35,3204.5,4621.1,667.5,5820.0,109300,4209,
1988,2357.24,3831.2,5814.0,811.8,7440.0,111026,5087,
1989,2664.90,4228.2,6525.5,796.1,8101.4,112704,4699,
1990,2937.10,5017.2,6904.5,861.7,8300.1,114333,3847,
1991,3149.48,5288.8,8137.9,1017.7,9415.6,115823,5547,
1992,3483.37,5800.3,10340.2,1417.9,10993.7,117171,5133,
1993,4348.95,6887.6,14248.4,2269.9,14240.1,118517,4883,
1994,5218.10,9471.8,19546.3,2968.8,18544.0,119850,5505,
1995,6242.20,12020.5,25023.2,3733.7,23463.9,121121,4582,
1996,7407.99,13878.3,29528.9,4393.0,28120.4,122389,4699,
1997,8651.14,14265.2,33022.6,4628.3,30922.9,123626,5343,
1998,9875.95,14618.7,34133.9,4993.0,32955.6,124761,5015,
1999,11444.08,14549.0,36014.4,5180.9,35122.0,125786,4998,
2000,13395.23,14717.4,40258.5,5534.0,38447.1,126743,5469,
2001,16386.04,15502.5,43854.3,5945.5,42240.4,127627,5221,
2002,18903.64,16190.2,47774.9,6482.1,47124.6,128453,4695,
2003,21715.25,16970.2,55362.2,7510.8,51303.9,129227,5451,
2004,26396.47,20904.3,65774.9,8720.5,58004.1,129988,3711,
2005,31649.29,21806.7,77958.3,10400.5,66491.7,130756,3882,
2006,38760.20,23317.0,92235.8,12450.1,76827.2,131448,4109,
2007,51321.78,27674.1,111690.8,15348.0,90638.4,132129,4899,
2008,61330.35,32464.1,131724.0,18807.6,110994.6,132802,3999,
2009,68518.30,33583.8,138092.6,22681.5,128331.3,133450,4721,
2010,83101.51,38430.8,165123.1,27259.3,152083.1,134091,3743,
2011,103874.43,44781.5,195139.1,32926.5,179803.8,134916,3247,
2012,117253.52,49084.6,208901.4,36896.1,205517.3,135922,2496,
2013,129209.64,53028.1,222333.2,40896.8,232252.6,136726,3135,
2014,140370.03,55626.3,233197.4,45401.7,259487.3,137646,2489,
2015,152269.23,57774.6,234968.9,47761.3,286587.8,138326,2177,
2016,159604.97,60139.2,245406.4,51498.9,315806.2,139232,2622,
2017,172592.77,62099.5,275119.3,57905.6,347326.7,140011,1848,
2018,183359.84,64745.2,301089.3,65493.0,377783.1,140541,2081,
2019,190390.08,70473.6,311858.7,70648.1,408017.2,141008,1926,
2020,182913.88,77754.1,313071.1,72995.7,391980.6,141212,1996,
